,Insured Name,Marguerite A Fairbanks,,
,Policy no,PO-SAMPLE-4471,,
,,,Insurance Carrier,Northbank Life Insurance Company
,,,,
,Face Amount,4000000,,
,Effective date,2021-06-14,,Hybrid
,Maturity Date,2062-06-14,,
,,,,
,Premium End Age,121,,
,DB End Age,121,,
,,,,
,,Proposed,,
,,Date,Premium,Death Benefit
,,2026-09-14,14900.74,4000000
,,2026-10-14,7450.37,4000000
,,2026-11-14,7450.37,4000000
,,2026-12-14,7450.37,4000000
,,2027-01-14,7450.37,4000000
,,2027-02-14,7450.37,4000000
,,2027-03-14,7450.37,4000000
,,2027-04-14,7450.37,4000000
,,2027-05-14,7450.37,4000000
,,2027-06-14,7450.37,4000000
,,2027-07-14,7450.37,4000000
,,2027-08-14,7450.37,4000000
,,2027-09-14,7450.37,4000000
,,2027-10-14,7450.37,4000000
,,2027-11-14,7450.37,4000000
,,2027-12-14,7450.37,4000000
,,2028-01-14,7450.37,4000000
,,2028-02-14,7450.37,4000000
,,2028-03-14,7450.37,4000000
,,2028-04-14,7450.37,4000000
,,2028-05-14,7450.37,4000000
,,2028-06-14,7450.37,4000000
,,2028-07-14,7450.37,4000000
,,2028-08-14,7450.37,4000000
,,2028-09-14,7450.37,4000000
,,2028-10-14,7450.37,4000000
,,2028-11-14,7450.37,4000000
,,2028-12-14,7450.37,4000000
,,2029-01-14,7450.37,4000000
,,2029-02-14,7450.37,4000000
,,2029-03-14,7450.37,4000000
,,2029-04-14,7450.37,4000000
,,2029-05-14,7450.37,4000000
,,2029-06-14,7450.37,4000000
,,2029-07-14,7450.37,4000000
,,2029-08-14,7450.37,4000000
,,2029-09-14,7450.37,4000000
,,2029-10-14,7450.37,4000000
,,2029-11-14,7450.37,4000000
,,2029-12-14,7450.37,4000000
,,2030-01-14,7450.37,4000000
,,2030-02-14,7450.37,4000000
,,2030-03-14,7450.37,4000000
,,2030-04-14,7450.37,4000000
,,2030-05-14,7450.37,4000000
,,2030-06-14,7450.37,4000000
,,2030-07-14,7450.37,4000000
,,2030-08-14,7450.37,4000000
,,2030-09-14,7450.37,4000000
,,2030-10-14,7450.37,4000000
,,2030-11-14,7450.37,4000000
,,2030-12-14,7450.37,4000000
,,2031-01-14,7450.37,4000000
,,2031-02-14,7450.37,4000000
,,2031-03-14,7450.37,4000000
,,2031-04-14,7450.37,4000000
