Record Type,Policy Number,Carrier Name,Last Name,First Name,DOB,Gender,State,LE Months,LE Provider,Date Of Death,Role,Product Type,Plan Name,Issue Date,Issue Age,Basic Face,Owner,Premium Required,Premium Mode,Next Premium Due,Acquisition Date,Acquisition Cost,Status,As Of Date,AV,CSV,COI,Death Benefit,Loan Balance,Transaction Date,Transaction Type,Amount,Remarks,Due Date,Estimated Amount,Note,Proceeds Amount,Proceeds Received On,Case Files Link
Policy,LF-3392014,Lincoln Financial,Ashford,Margaret,02/14/1936,F,MI,78,ITM21st,,,UL,LifeGuarantee UL,04/18/2006,70,5000000,,88000,Annual,03/18/2027,06/18/2020,940000,Inforce,,,,,,,,,,,,,,,,
Transaction,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2020,Acquisition Cost,940000.00,Purchase price,,,,,,
Transaction,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2020,Premium Payment,88000.00,Policy year 1,,,,,,
Transaction,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2021,Premium Payment,91960.00,Policy year 2,,,,,,
Transaction,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2022,Premium Payment,96098.20,Policy year 3,,,,,,
Transaction,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2023,Premium Payment,100422.62,Policy year 4,,,,,,
Transaction,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2024,Premium Payment,104941.64,Policy year 5,,,,,,
Transaction,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2025,Premium Payment,109664.01,Policy year 6,,,,,,
Transaction,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2026,Premium Payment,114598.89,Policy year 7,,,,,,
Transaction,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/21/2020,Fee,11280.00,Closing and escrow,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,08/18/2020,436713.00,436713.00,7900.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,02/18/2021,424485.00,424485.00,8058.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,08/18/2021,412599.00,412599.00,8219.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,02/18/2022,401046.00,401046.00,8384.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,08/18/2022,389817.00,389817.00,8551.00,5000000,0.00,,,,,,,,,,
